ID,Title,Status,Review,# Reviews,OveMer,Abstract,Authors,Tags,CategoryLabel,ctgyorder,publish
K1,"Oh, The Places You'll Go!",Accepted,,,,"Dr. Quincy K. Brown is an accomplished computer scientist, educator, former Policy Director in the White House, and expert on STEM education, policy development, cross-agency collaboration, and workforce initiatives in space, computing, technology, and STEM. Dr. Brown will discuss leveraging her background as a computer scientist across research, education, and policy to drive innovation and shape the future. Her expertise offers valuable perspectives and practical insights on innovation, collaboration, and career navigation.","Dr. Quincy K. Brown, Ph.D.",#Keynotes,Keynotes,1,TRUE
K2,Closing Remarks,Accepted,,,,"Becky Robertson is a Vice President at Booz Allen Hamilton, where she leads amazingly innovative teams building advanced technology solutions and products to accelerate outcomes for the Nation. In her more than 30-year career, Becky has blended her technical expertise, problem solving skills, and passion for collaboration in roles including web-based training development, software engineering project management, systems engineering and integration, commercial satellite vulnerability analysis, large contract management, competitive contract capture and negotiation, as well as leading corporate investments in next wave technologies. In her current role, Becky leads Booz Allen’s National Missions team, tackling priority national cyber issues with collective ingenuity and unmatched mission understanding. She lives in the Annapolis area with her family and spends almost all of her spare time reading mysteries, cooking for the people she loves, or on soccer and lacrosse fields.",Becky Robertson,#Keynotes,Keynotes,1,TRUE
C2,"Choosing a grad school...or not: Questions, reflections, and discussion",Accepted,,,,,"S. McCrickard, N. Basit, N. Andrus, F. Nikseresht, A. Shahid, A. Prakash",#Panels,Panels,2,TRUE
C6,Exploring Various Career Paths in Computer Science and the Tech Industry,Accepted,,,,,"N. Perodin, N. Schneider, I. Gupta",#Panels,Panels,2,TRUE
1,Plot'n Polish: Zero-shot Story Visualization and Disentangled Editing with Text-to-Image Diffusion Models,Accepted,,2,3 3,"Text-to-image diffusion models have demonstrated significant capabilities in generating detailed and diverse visuals across various domains, with story visualization emerging as a particularly promising application. However, as their use in real-world creative processes increases, the need for generating coherent story sequences, providing enhanced control, refinement, and the ability to modify images post-generation to meet specific creative demands has become an important challenge. Existing methods often lack the flexibility to apply fine or coarse edits while maintaining visual and narrative consistency across multiple frames, preventing the creators from seamlessly crafting, refining, and enhancing their visual stories. To address these challenges, we introduce Plot'n Polish, a zero-shot framework that enables end-to-end interactive story generation and provides fine-grained control over story visualizations at various levels of detail.","Kiymet Akdemir, Pinar Yanardag (Virginia Tech)",#StudentResearchShorts,Research Shorts,3,TRUE
4,Context Canvas: Enhancing Text-to-Image Diffusion Models with Knowledge Graph-Based RAG,Accepted,,2,3 3,"We introduce a novel approach to enhance the capabilities of text-to-image models by incorporating Retrieval-Augmented Generation with a knowledge graph. Our system dynamically retrieves detailed character information and relational data from the knowledge graph, enabling the generation of visually accurate and contextually rich images. Furthermore, we propose a self-correcting mechanism within Stable Diffusion models to ensure consistency and fidelity in visual outputs, leveraging the rich context from the graph to guide corrections. To our knowledge, Context Canvas represents the first application of graph-based RAG in enhancing T2I models, representing a significant advancement for producing high-fidelity, context-aware multi-faceted images.","Kavana Venkatesh, Yusuf Dalva (Virginia Tech); Ismini Lourentzou (University of Illinois Urbana Champaign); Pinar Yanardag (Virginia Tech)",#StudentResearchShorts,Research Shorts,3,TRUE
9,Use of Control Flow Graphs with Edges Consideration for Fault Localization,Accepted,,2,3 3,"In the final stage of software development, debugging, especially fault localization, is one of the most time-consuming processes for both novice and senior software engineers.  One way to locate the fault is by testing the code with different inputs and looking for statements that are predominantly covered by failing test cases.  This process can be used to then calculate the suspiciousness of individual lines of code.   Previous work introduced a Spectrum-Based Fault Localization (SBFL) technique with visualization to help developers identify suspicious lines of code.  Here, we build on that work by displaying a Control Flow Graph (CFG) as a visualization technique for fault localization assistance, with the most suspicious line(s) of code highlighted to draw the programmer's attention, and other statements highlighted to indicate suspicious paths through the graph.  Further, we include the consideration of edges in the graph while computing the suspiciousness of code lines, which helps localize faults that are in decision points in the CFG.  In this paper, we provide an overview of our CFG-based approach with some examples of visualizations that are easy for developers to understand, as well as an explanation of how we use edges in the graph to assess the suspiciousness of method decision points. We modified two existing approaches Tarantula and Ochiai to Tarantual+Edges and Ochiai+Edges. We also describe the results of experiments using both 71 various valid real software faults from three different libraries provided by \textit{Defects4J} benchmark and various Java methods from the Apache Commons Math library with mutation analysis, which demonstrates that our technique can be more effective at helping developers localize faults than previous approaches.",Zhuo (Cecilia) Chen (Bryn Mawr College); Christian Murphy (Swarthmore College),#StudentResearchShorts,Research Shorts,3,TRUE
10,Emerging Technologies and Autonomous Interaction,Accepted,,2,2 2,"This research explores how AI, virtual worlds, and decentralized autonomous organizations (DAOs) are creating novel paradigms of autonomous economic and social interaction. By integrating AI-driven avatars, blockchain-based land ownership, and smart contract governance, these technologies are reshaping digital engagement models. The study examines how these interconnected systems enable unprecedented levels of user autonomy, economic agency, and social coordination beyond traditional digital platforms. Preliminary analysis reveals potential transformative implications for business, social networking, and property rights in increasingly decentralized digital ecosystems.",,#StudentResearchShorts,Research Shorts,3,TRUE
16,Combining Open-Source Intelligence (OSINT) with AI for Threat Detection,Accepted,,2,3 3,"Abstract    The increasing sophistication of cyber threats, coupled with the expansion of social media platforms and the Dark Web, has significantly impacted global cybersecurity and intelligence efforts. Despite the growing use of Cyber Threat Intelligence (CTI), Open-Source Intelligence (OSINT), and Social Media Intelligence (SOCMINT), significant gaps remain in the automation, accuracy, and ethical governance of these intelligence-gathering methods. This study addresses the urgent need to enhance cyber threat detection, zero-day attack prevention, and cybercrime mitigation through artificial intelligence (AI), machine learning (ML), and Natural Language Processing (NLP) techniques. The primary research problem centers on the effectiveness, challenges, and ethical implications of AI-driven cybersecurity solutions in monitoring and analyzing cyber threats across OSINT, social media platforms, and the Dark Web. The study is grounded in cybersecurity threat modeling and intelligence analysis frameworks, integrating machine learning-based classification, natural language processing techniques, and social network analysis (SNA) to evaluate threat actors, cybercriminal behaviors, and cyber-attack patterns. The key research questions explore how AI and NLP enhance zero-day attack detection, cybercrime classification, and intelligence gathering from social media and Dark Web platforms while addressing regulatory, ethical, and legal constraints. A systematic review and comparative analysis were conducted to assess existing AI-driven cybersecurity methodologies. The research utilizes text mining, clustering algorithms, sentiment analysis, and predictive modeling techniques to analyze threat intelligence extracted from real-time data sources such as Twitter, Facebook, Dark Web forums, and hacker marketplaces. Data analysis focuses on machine learning success rates, false positives, and precision-recall metrics in cyber threat detection. Findings indicate that AI-driven cybersecurity models can detect cyber threats with up to 80% accuracy, particularly in zero-day attack identification and cybercrime profiling. However, challenges remain in automating intelligence workflows, ensuring data reliability, and addressing privacy concerns. The study concludes that while AI significantly enhances cyber threat intelligence, more robust frameworks are needed to balance security imperatives with ethical considerations. Recommendations include developing standardized AI-based cybersecurity models, enhancing international regulations for SOCMINT and OSINT, and integrating human-AI collaboration for more effective cybercrime mitigation.",Jackline Fahmy (Marymount University),#StudentResearchShorts,Research Shorts,3,TRUE
17,Machine Learning Insights into Academic Success in CS3: The Role of Mathematics and CS Coursework,Accepted,,2,3 3,"This research paper aims to understand how mathematics and computer science education influence the academic trajectory and performance of students in Computer Science degree programs, with a particular focus on CS3. By analyzing data from 3905 students over a decade at an R1 institution, this study examines course terms, grades, course completion, and program participation for all Computer Science and Math courses. Through extensive statistical and machine learning analysis on this comprehensive dataset, we investigate the correlation between students' performance in mathematics and previous CS courses and their grades in the upper-level CS course, CS3. This study provides a nuanced understanding of the factors contributing to student success in advanced Computer Science coursework.","Nawar Wali, Sara Hooshangi (Virginia Tech)",#StudentResearchShorts,Research Shorts,3,TRUE
